gid,animal,time,geom,label
342,767,2006-04-20 16:02:03,0101000020110F0000798C97D47AC932418DF75D4E8E0F5641,2
268,767,2006-03-23 00:01:03,0101000020110F00009057397EFACA3241A7C50750FE0D5641,1
374,767,2006-04-27 04:00:55,0101000020110F00000A4DD0EC97C63241B67D97EAA60F5641,2
380,767,2006-04-29 20:02:28,0101000020110F000002E243D8C6C53241138291741E0F5641,2
402,767,2006-05-04 12:02:48,0101000020110F000001ADF1DDD7C63241D1C82B8AF80F5641,2
424,767,2006-05-09 12:02:51,0101000020110F0000D79E40EDBAC83241BFA4889DD00F5641,2
446,767,2006-05-14 16:02:08,0101000020110F0000B5EDC5B8FEC93241C5A9BB17E20F5641,2
471,767,2006-05-25 00:00:47,0101000020110F00009DF75A8139C7324199761C3A860F5641,2
478,767,2006-05-26 20:01:53,0101000020110F00007C9DD41468C73241F0D95D02810F5641,2
484,767,2006-05-28 20:01:52,0101000020110F00005F5C2E8EDDC6324126CD592E5A0F5641,2
506,767,2006-06-03 04:02:42,0101000020110F00009BF39D3E66C732419F8B8A4DBB0F5641,2
528,767,2006-06-09 00:01:26,0101000020110F0000851ACFE6A3C5324129B8B3CB500F5641,2
550,767,2006-06-14 00:01:12,0101000020110F00001BE2CCB01AC6324180BC556E990F5641,2
574,767,2006-06-20 12:03:05,0101000020110F00006E2CAC3211C83241D46CD646E60F5641,2
581,767,2006-06-22 20:00:55,0101000020110F0000EF96FDFF01C6324111529A81560F5641,2
588,767,2006-06-25 12:03:08,0101000020110F000085253FA0AEC83241ED889E71DD0F5641,2
610,767,2006-07-02 08:02:17,0101000020110F000077CC0E0E26C53241418710B2430F5641,2
632,767,2006-07-10 12:02:19,0101000020110F00002AA3991696C632413CCFEBC4460F5641,2
654,767,2006-07-17 20:01:49,0101000020110F0000423F74A1A1C53241BDED7A27520F5641,2
678,767,2006-08-02 16:03:04,0101000020110F00002A7180448AC73241A71F77C521105641,2
686,767,2006-08-07 08:02:01,0101000020110F0000D83BAB64CDC732416667956C2A105641,2
692,767,2006-08-10 12:03:04,0101000020110F00008708CD3D6BC63241C99E14D10D105641,2
714,767,2006-08-16 02:33:07,0101000020110F0000C3E8C1E6AEC63241A46DDBD6C10F5641,2
736,767,2006-08-16 18:02:08,0101000020110F0000E8A8FED5A8C73241F1489BCA9B0F5641,2
761,767,2006-08-22 20:01:47,0101000020110F00004F4E1F774EC63241A86F78BF4E0F5641,2
783,767,2006-08-28 04:01:35,0101000020110F0000D3A965A2FCC5324179E629765A0F5641,2
790,767,2006-08-30 20:02:39,0101000020110F00008838EF561CC732414D661D7A5E0F5641,2
796,767,2006-09-01 16:01:46,0101000020110F000029ED0DE166C73241C5208F89FD0F5641,2
818,767,2006-09-08 20:01:41,0101000020110F000070DF937442C73241727BD54D550F5641,2
840,767,2006-09-15 00:01:53,0101000020110F0000E3A430A1CAC53241CA16AC3A400F5641,2
865,767,2006-09-23 00:00:55,0101000020110F000037052A31F4C232417DCAB1A9470F5641,2
